"";"Artiste";"Texte";"id"
"215";"sofiane";". Sors le pompe, sors le pompe Fais le mouv', fais le mouv'. Sors le pompe, sors le pompe Fais le mouv', fais le mouv'. Sors le pompe, sors le pompe Fais le mouv', fais le mouv'. Sors le pompe, sors le pompe Fais le mouv', fais le mouv'. Sors le pompe, sors le pompe Fais le mouv', fais le mouv'. Sors le pompe, sors le pompe Fais le mouv', fais le mouv'. Sors le pompe, sors le pompe Fais le mouv', fais le mouv'. Sors le pompe, sors le pompe Fais le mouv', fais le mouv'. . .             .           .         ";35
"216";"sofiane";". Crapulerie la Seine-Saint-Denis. Fiane-S.O 9.3 ce est le barrio. Tu parles tu chiales tu me as trahi. Tout était déjà dans le scénario. Gros ce est nous les re-sta du film. On se fait pincer toi te es rincé. Je suis en indé dans la musique et dans la C je suis en insé'. Dis-moi où tu pécho  je ai de la frappe. Je côtoie des cassos des malfrats. Calibré ganté sur le rrain-te. On te a raté ben on repassera. Parole de byle-ka on te effacera. Litron de platine, pe-stu, sté-pi, hélicoptère. Bâtard, Qatar, notaire, pavtar, Gucci baby Je les paye fâché je encaisse content. Tous les pourcentages et les montants Blankok ce est pas Breaking Bad Heisenberg on le aurait barbé depuis longtemps. Tu veux investir, gagner de le argent. Ben on te le annonce, et on te le a met évidemment. Que ça finit mal sinon ça finirait jamais. ";36
"223";"sofiane";"Ils veulent me faire 6 pieds sous terre Je ai le accent de Alpha, la vie de ma mère Les jours je les bois, les nuits je les cane Même le ange de la mort a le permis de bécane. Ils ont relevé les plombs, si tu le sais, réponds Plusieurs messages sur le PGP, en effet. Ça bombarde à fond, sauter au plafond, je le ai fait Stupéfait des faits, les stups' ont défait mes fonds, merde. Le génie dans la bouteille, pourquoi tu bafouilles ?. Je crois que tu parles de moi 'zin Ce est moi le grand de la tess', on a tourné pe tit frère. Je suis même capable de te présenter ton voisin. Te es passé pécho, seul dans le Audi. Ils veulent ffer-chau, appelle Yabou ma gueule ce est des sosies Crack dans le réchaud, te es passé chez So, les condés aussi Ce est Playmobil, ve là les histoires On fait neiger, on fait pleuvoir Je suis pas responsable, je suis influençable. Même sa mère la juge me a interdit de me voir Il arrive derrière mais je le ai vu kho. Neuf millimètres scotché sous le bureau. 9.3 terre des pillards, là on est 6 milliards comme les mecs des Mureaux, Fianso. ";37
"227";"sofiane";"Être un bolchévique ça ne tient qu'à toi. Plus de single, plus de album : que des fatwas. Monte et bats-toi. Ce est la guerre je ai besoin de toi je t’appelle ghadwa. Chacun sa croix. Je sais pas viser, bang bang de maladroit. Touche pas ma proie, ça chauffe des kala' froidÀ la une, à la deux, à la 9.3. Ouais comment ça se passe ";38
"235";"sofiane";"Je ai tisé toute la Bakhaw, je sais pas si je tiens debout. Je vais lui remplir tout son ventre pour sentir bien le pouls La gova pleine de Bakhaw et les mains pleines de boue. Renois, babtous, beurettes, ramène même les Indous Litron de Bakhaw, Blankok Bakhaw Jumo, Villepinte, et tout Fleury-Méro Bakhaw. 9.3 je donne le top départ à nos vies. Stop, te es parano bi-bop Lebara Mobile. ";39
"238";"sofiane";". Sheitan se en mêle quand ye a plus de amné' où la police avance prudemment. Tout est lavé, plié, condamné, gros ça va Bakhaw pour les Bakhaw que on pris plus de un an. Je viens de Blankok, mes frérots je en prends soin, soin, soin Tu joues mon frère tout le monde sait bien que te es que une bouche de tchoin, tchoin, tchoin. ";39
"430";"black m";"Le première fois que je l’ai vu; j’avoue que je suis resté bête. J’ai ma propre version de l’histoire de La belle et la bête. Je sais, je pourrai passer pour un négro fragile Je lui ai fait croire que c’est moi, j’ai rendu Paris magique J’avais pas un centime mais beaucoup de sentiments. Des problèmes qui s’empilent, un parcours qui en dit long. Je voyais en elle, celle qui allait faire de moi un homme. Un genre de Casanova du ghetto qui fait le loveur. Parfois j’ai du mentir, faire le dur à cuire. Et chaque fois j’étais en tort, je crois qu’elle endure. Je parle mal et je m’énerve parce que je suis réservé. Je vois pas ce qu’elle veut dire et je m’emporte. ";68
"432";"black m";"Je suis peut-être habité, ou peut-être habitué. Il faut que je change, elle va me buter, elle va me quitter On a du mal à communiquer, j’suis complètement niquéElle ne sait pas que j’suis encore piqué, je pourrai pas l’expliquer. La vérité : un goût amer, le rêve n’est pas bleu. Je dessine l’avenir en couleur sur un petit tableau. J’aimerai tellement lui dire des choses mais l’orgueil veut pas. Biensûr, l’amour ça rend aveugle, y’a des choses que je vois pas. On a passé le stade des disquettes. Je peux plus faire ça parce que mon fils guette On résout pas tout sur un week-end Mais si tu veux tout savoir : oui je t’aime !. ";68
"456";"a2h";". Ouais, je me souviens de nous ensemble. Prêts à dompter le monde et à toucher le ciel. Le quotidien nous a coupé les ailes. Je voulais une vie à le américaine. Chérie, te es tellement la meilleure. Dehors, ce est tellement la merde. Le monde est effrayant, Larry a perdu sa mère. Je suis là pour mon frère, rien ne est excellent. On a tourné dans la ville, on a fumé la green, on a pensé à braquer. On a grandi dans la street, que des dingueries en tête, à deux doigts de craquer. Plus rien à foutre du rap, du love. Je ai perdu la boule, je ai fumé le spliff de trop. Je vois les autres qui me méprisent de haut. Je ai chargé les armes, je tirerai se il le faut. Te inquiète, je sais faire renter la maille. Le argent : je me en branle si ma famille a mal. Paris est sale, je pense aux femmes que je ai aimées. Et, ça, toute la night. Envie de fuir sans rien dire à personne. Et laisser ce track entre des factures et mon passeport. La France entre quatre planches. Quand tu meurs, ye a pas de pote. ";71
"460";"a2h";". Non, non, je n'écoute plus personne. Je n'écoute plus personne, hé hey. Non, non, je n'écoute plus personne. Je n'écoute plus personne. Je veux juste que la foule fasse : ""Ouais, ouais, ouais. Ouais, ouais, ouais, ouais, ouais, ouais"". Je veux juste que la foule fasse : ""Ouais, ouais, ouais. Ouais, ouais, ouais, ouais, ouais, ouais"". ";72
"461";"a2h";". Renoi, je veux le feu dans la salle. On a commencé dans la cave (hé, hey). Certains ont pété un câble. De autres ont vendu la came (ce est vrai). Le Mée-sur-Seine, Melun centre, Melun-Nord. RER D, Gare de Lyon, ce est la sortie. Une grosse équipe : Palace Prod, ce est le gang. On a de la zeb bien plus forte que la morphine. Ici, que des types comme moi. Tout pour la mif', ce est vrai, je le ai dit cent fois. Signe de croix pour tous nos disparus. Ce est sûrement pour ça que je suis triste, le soir. Je frappe le machin comme dans les films de boxe thaï. Deux/trois catins, je ai du porno dans le portable. Mais, vu les yeux de ma femme, je crois pas que elle adore ça. Je suis un grand joueur mais, dans le fond, je ne mords pas. ";72
"467";"a2h";". Non, non, je n'écoute plus personne. Je n'écoute plus personne, hé hey. Non, non, je n'écoute plus personne. Je n'écoute plus personne. Je veux juste que la foule fasse : ""Ouais, ouais, ouais. Ouais, ouais, ouais, ouais, ouais, ouais"". Je veux juste que la foule fasse : ""Ouais, ouais, ouais. Ouais, ouais, ouais, ouais, ouais, ouais"". . .             .           .         ";72
"468";"a2h";". Hey hey, renoi, ce est le paradis. Moi, je vis de mon art, te es dans une pute, tu choppes des maladies. Bitch, tu nous parles de carabines. Tu fais le grossiste, mais tu ne vends que de la paraffine. Pas de Glock neuf milli', tu ne es pas un thug. Tu ne as pas de cash, tu ne as pas de big titties. Je reste solide pour mon gang, ma famille est grande. Des voyous, des meufs mimis. Frangin, je accélère, je veux niquer des crews. Sors la RED Dragon, viens clipper mes bougs. Pe tits pas de danse soins sur la piste. Je sors avec mon squad, on va chopper des poules (Oh). Quand je shoote, je vise dans le mil. Si tu le ouvres, tu snitches, on tire. Mes loups sont ivres en ville. Pas clean, on vit dans le buis', la nuit, tout triste, on tire. ";73
"478";"a2h";". Hey hey, mes renois veulent faire du cash. Mes renois veulent faire du sale, ouais, bang, bang, bang. Mes renois veulent faire du cash. Mes renois veulent faire du sale, ouais, bang, bang, bang. Mes renois veulent faire du cash. Mes renois veulent faire du sale, ouais, bang, bang, bang. Mes renois veulent faire du cash. Mes renois veulent faire du sale, ouais, bang, bang, bang. . .             .           .         ";73
"501";"sofiane";"Ouais le ancien fais de la place, j'éteins le Famas Tahia Hamas, caille-ra baffeuse de bouche Personne pour faire la passe détere Damas, pe tit frère khalass pour que la masseuse se couche Dans ma rue ce est la guerre, ça grouille de schmitt Les frères se embrouillent pour des crasseuses de souche Suffit de un geste, de un mot pour que la gazeuse te douche, pour que la rafleuse te touche. Bam bam bam bam bam bam Le public me crie : ""Achille refait le Histoire de Troie !"". Je vais mettre tous leurs blazes sur ma liste noire, je crois Entre un tigre et un chat, ce est pas que une histoire de poids. Bang, bam bam bam bam bam. Je me suis fait tout seul dans ça, je ai tout froissé sans thème. Avant que celui qui te a crossé te emmène Même si te es pas Mayweather tu peux boxer quand même, bang Bakhaw, bakhaw, ça détaille la chocoe Grande patate, je ai les gants coqués Je envoie les revers a Djoko Tu veux parler ? Te as 5 balles, ok Tu passes la commande à Porka. Je ai pris le magot, ramène-nous à Chicago on va les choquer. Bang. ";76
"505";"seth gueko";"Yo, grosse boule à Z comme Lex Luthor On fait la maille pendant que tu dors Je cours pas après les pépètes du chôme-du Accro aux flingues comme Phil Spector Devant les inspecteurs qui nous respectent ap', joue les Winspector, gros je expectore Je vends de la neige en été, ce est un fait divers Une étrange histoire pour ton transistor Je roule en Francis Ford Coppola La nature se venge, Canicula Ramène ta femme, je vais te montrer comment on fait, Caligula Avant ye avait 36.15 ULLA, aujourde hui les femmes sont pire que Dracula. Elles vont te sucer le sang, même recouvert de ail De Phuket à Paname, je tiens le gouvernail Ce est pas de la punchline, ce est de la joute verbale Je suis venu vous faire mal : Bah ! Bah ! Bah !Je crois que je ai besoin de une couverture sociale Je crois que te as besoin de une ouverture faciale. ";76
"549";"dadju";". Je comprends pas le langage des signes. Si ta la bouche faut parler. On ne est pas de la même équipe. Faut même pas nous comparer. Ta du retard, du retard. Tu va pas ye arriver. Ta du retard, du retard. Ne essaie pas de essayer. Je comprends pas le langage des signes. Si ta la bouche faut parler. On ne est pas de la même équipe. Faut même pas nous comparer. Ta du retard, du retard. Tu va pas ye arriver. Ta du retard, du retard. Ne essaie pas de essayer. ";83
"550";"dadju";". Okay. Ne essaie pas de essayer, ne essaie pas de essayer. Ne essaie pas de essayer, ne essaie pas de essayer. Ne essaie pas de essayer, ne essaie pas de essayer. Ne essaie pas de essayer, ne essaie pas de essayer. . .             .           .         ";83
"581";"jul";"Je suis resté fidèle au barrio. (Je suis resté fidèle au barrio)Ils ont mis l'œil sur ma gari oh. (Ils ont mis l'œil sur ma gari oh). Je te ai rien fait tu me salis oh. (Je te ai rien fait tu me salis oh)Oh Maria, Maria. Que est-ce que te attends pour te marier?Oh Maria, Maria. Que est-ce que te attends pour te marier?. ";92
"582";"jul";". Je trace mon chemin. Je ne pense pas à demain T’es tout l’temps là à te plaindre. T’es comme moi : t’as 2 jambes et 2 mains Qui t’as fait, j’peux pas t’dire. T’inquiète poto tu verras pire. Je sais même plus c’que j’dois faire. Mais je sais que tant demain j’peux partir. J’sortais de la ‘son. J’cabrais dans la zone toute la journée. J’voyais les clients. M’taper sur la vitre, le visage jnounéJ’connais la galère. Frapper des temps-pleins tout l’temps pour tchi. Espèce d’abruti, parle pas mal d’la bouche on va sortir l’outil J’ai mon survêt du Dortmund. J’ai fais l’pain j’ai pas mis du Gucci. J’ai mon survêt du Dortmund. J’ai fais l’pain j’ai pas mis du Gucci. ";92
"589";"jul";"Je suis resté fidèle au barrio. (Je suis resté fidèle au barrio)Ils ont mis l'œil sur ma gari oh. (Ils ont mis l'œil sur ma gari oh). Je te ai rien fait tu me salis oh. (Je te ai rien fait tu me salis oh)Oh Maria, Maria. Que est-ce que te attends pour te marier?Oh Maria, Maria. Que est-ce que te attends pour te marier?. . .             .           .         ";92
"591";"jul";". Wesh Alors ?! Wesh Alors ?! (Wesh Alors). Ils sont en chaleur, en chaleur (En chaleur). Wesh Alors ?! Wesh Alors ?! (Wesh Alors). Ils sont en chaleur, en chaleur (En chaleur). Wesh Alors ?! Wesh Alors ?! (Wesh Alors). Ils sont en chaleur, en chaleur (En chaleur). Wesh Alors ?! Wesh Alors ?! (Wesh Alors). Ils sont en chaleur, en chaleur (En chaleur). ";93
"592";"jul";". Lève de une main la moto. Je les laisse faire la photo. Tu gère mon poto. Bavette, tu vas toucher le dos. Je fais du rap, je fais de tout. Planète Rap je nique tout. Viens faire le bisous. Tu as faim je te brise oùArha les banalisés. Ils veulent nous verbaliser. Je peux te dire que te iras pas loin. Si ta caisse est balisée. ";93
"600";"jul";". Wesh Alors ?! Wesh Alors ?! (Wesh Alors). Ils sont en chaleur, en chaleur (En chaleur). Wesh Alors ?! Wesh Alors ?! (Wesh Alors). Ils sont en chaleur, en chaleur (En chaleur). Wesh Alors ?! Wesh Alors ?! (Wesh Alors). Ils sont en chaleur, en chaleur (En chaleur). Wesh Alors ?! Wesh Alors ?! (Wesh Alors). Ils sont en chaleur, en chaleur (En chaleur). . .             .           .         ";93
"655";"sadek";"Oublie pas que on rêvait du dessert sans goûter le entrée. Te inquiète pas, on fait que manger khey tu me parle de me ranger. Je ai pas de frein arrière, aucun amour pour le armistice. Qui va nous racketter ? Je vais les tuer dès le service. Profite de mon corps, ne crois pas que on se reverra Je veux que mes petits passent du Gilera au Carrera. Et la sipette  ce est le redma. Paye sur le bénéf' de la MD. Ta aucun trou dans le tail-dé. On meurt aujourde hui, on revit redwa. Tomber,belvé,bébé,je suis déconnecté. Bisous, mandat pour ceux qui tourneront tout l'étéTonton Karim, on les baise. Le terma rempli de mayonnaise. Je n'écoute pas, je fais ce que il me plait. Venez me passer les bracelets. Han j'était bourré je ai oublié de rappeler On compte les billets, laisse-les compter les abonnés. En Givenchy mais je peux vite remettre le K-Way. On a toujours fait ce que il fallait. ";101
"724";"sneazzy";". Vous avez parlé sur mon squad de vive voix. Vous déclarez la guerre, ce est un triste choix On a lé-par sur ton squad de fils de pute. En même temps vous êtes fragiles, on risque quoi ?Il était censé te protéger et censé te aimer. Il est reparti dans son tieks sans ses TNSurveille ta hlel, je ai fait du ski dans ses DMe s. Je ai cru que j'étais sur une piste noire On assume nos conneries, on évite pas la peine Doumams en première classe, avec du shit sous les semelles Les rappeurs français veulent faire des feats à le appel. Obligé de changer de numéro toutes les semaines. Pourquoi la concurrence est aussi leg' ?S/o Hankock, s/o Silek. Je fais mes bails comme un bicraveur Pour le taff, un i Phone ; pour les putes, un Siemens. Je fais du boucan, seulement quand la sécu' te couvre. Tu transpires, tu te en sors péniblement Je ai 25 ans mais je en ai déjà vécu le double. Rebeu peut déjà mourir paisiblement Okay-kay-kay, elle bouge son gros cake, cake, cake. On voit que ils sont inquiets-quiets-quiets. On va te pousser du quai, quai, quai Zannen. ";116
"728";"sneazzy";"Ça se autosuce, ça veut même se briser deux côtes Prochain album devrait se appeler ""Sneazzy the Goat""Ton squad de négros et rebeus fragiles. Au pissotoire, chacun regarde le zizi de le autre. Tu le as dans ton clip, moi je le achète. Les rappeurs français, ce est que la schmet Ce est très Zannen Comme quand ta meuf a un pied de chameau à la place de la schneck. Concurrence ne peut rien faire, mais que ce est triste. Je les mâche comme un bâton de vieux réglisse Je raconte les bêtises que je fais dans mes sons. Je me sens comme chrétien qui revient de l'église Je suis Africain boy, je ai pas les cheveux lisses. Milliers de billets de 500 qui me ensevelissent J'écrase le adversaire comme château de sable. Tableau de chasse, je ne serre que des Miss Quand je dis que je suis le meilleur, ce est un euphémisme. La rafale fera le bruit de deux hélices Super Sound ce est le nom du label. Quand tu prononces fait une Doue a, demande que Dieu bénisse. ";116
"734";"sneazzy";"Survêtement complètement velvet Maroquinerie toujours LVDeux comptes en banque chez les Helvètes Sur son cul je pose une bouteille de Belvee Je te baise, je en ai le cœur net. On raconte pas de sornettes. On est les meilleurs mon rebeu, on est formels. On schématise, on est posés sur le corner Fashion week mon rebeu, tu peux me trouver à New York, à Milan, à Paris et à Londres. Je envoie la recette du showcase en mandat direct si un membre de la famille est à le ombre Elle veut se défoncer du soir jusqu'à le aube, je vais lui payer sa poudre si la fille est canon. On met rarement de côté, rien à foutre, on dépense tout le oseille car la vie ne est pas longue. On est dans un cauchemar mais on vit nos rêves. Fuis la galère comme si on était millionaires. Toute ma jeunesse totalement pris au piège Le sirop violet coule dans le verre de limonade. After party dans le cabriolet, on roule à fond la caisse pendant des kilomètres Mon rebeu tu sais je suis tellement performant, je me demande si je mériterais pas le prix Nobel. ";117
"737";"sneazzy";". Tenue un peu trop légère pour la saison. Les yeux dans les yeux pendant toute la session. Les mains sur ses hanches pour ne pas perdre le contrôle. Girl a le mouvement du bassin qui fout la pression. Négro, je suis resté figé devant le twerk. Ce est celle qui est le plus prisée dans le club. Elle vient juste de me viser dans le cœur. Tous les mecs sont sur stop, tous les mecs ont mis les warnings. Si elle veut me rendre fou, je lui réserve le même sort Je lui demande de prendre son temps, de faire doucement avec le whining. Elle me dit dans le oreille que elle préfère le faire fort. ";118
"739";"sneazzy";"La tête qui chauffe comme si c'était un brainstorm. On enchaîne verre sur verre donc on est presque presque mort On se en fout du fond tant que elle a de belles formes. Le travail est bien fait, ye a de la sueur sur le dancefloor. Le amour commence où le amitié se arrête. Ce soir ce est le abeille qui a piqué la guêpe. Je lui dis que il est temps de quitter la fête. Elle se met tout en valeur comme si elle venait passer un casting. Elle trouve pas le prince charmant même si chaque meuf en mérite un. Quand la fête prend fin, la fête continue même dans le parking Il dure pas que quinze minutes le quart de heure américain. ";118
"744";"sneazzy";"Je vais pas faire le mariolle dans des émissions Toujours payé je ne fais jamais le bénévole Rebeu je fais des nuits blanches à répétition Je me sens comme Michael Jackson sous Demerol Te-fri le te-shi dans Zig-Zag, chargeur est vidé, tou, tou, tou !Je appelle les potos du six' side Rebeu à la production ce est Stwo, Stwo, Stwo !. ";119
"746";"sneazzy";"Je suis sorti de la merde je dis ""God bless""Viens pas sucer le squad si ta côte baisse Mon bre-chi vit dans le lac du Loch Ness. Je paie souvent les frais de hôpitaux quand je blesse. Pull up dans un nouveau fer On va le faire pour tous nos frères Drive-by dans leur game de putain. On les voit se noyer sous le eau claire. ";119
"753";"sneazzy";"Personne ne est suicidaire chez nous à part les portes de la Mercee Rebeu je suis musulman. Je ai pas de tatouage, pas de piercings Pas le même génie, pas le même flow, pas le même signe Cheveux hrach, comme Timberlake a l'époque de NSYNCJe suis pas espagnol rebeu, mais je ai la grinta Je suis pas américain rebeu, mais je ai la green card Boulet de canon qui part du cœur, écusson des Gunners. Je suis chaud comme Robert Pires avec le maillot Dreamcast Banane sur le té-co, avec le signe du crocodile. Mon négro JB monte du Jonquet avec un gros colis Transaction tout les jours. Mais personne ne taffe chez Chronopost Doumams ne est pas épicier mais il aime vendre des brocolis Je viens de liker une centaine de booty sur Insta. Mon ex trouvait que je avais un comportement instable. La mémoire du téléphone ne est pas assez puissante. Rebeu, je peux faire tenir tout mes plans culs dans un stade La France ce est ma ville, et Paris la nation. Quand t'écris mon nom quelque part. Je veux que tu soulignes DBSS nouvelle drogue par inhalation Me compare jamais à ces pe tits rappeurs sous lean. Toujours dans la zone Rebeu, posé dans le south. Je fais totalement partie de la capitale et ses monuments. Moitié après le show. Première moitié dans le Sas Minimum quatre zéros, si tu veux connaître mes émoluments Rappeurs me envoient des fleurs mais je arrache toutes les pétales Je les aime à la folie, passionnément, parfois pas du tout. Quand je veux des infos sur vous. Je demande a ta pétasse Elle se est faite tatouée le nom du label sur le bas du dos. Pupilles écarquillées à chaque fois que te en remets. Elle veut me faire boire en traître, traître, traître Je traine avec des meufs que je peux pas présenter à ma re-me. Rebeu je veux pas que elle me traite, traite, traite. ";120
"755";"sneazzy";". Ride ride ride ride ride dans le périmètre ride Je fais tout au nom de Dieu comme quand je grailleÉcrase ta te-tê dans le ascenseur comme dans Drive. Ride ride ride ride ride dans le périmètre ride. Je fais tout au nom de Dieu comme quand je grailleÉcrase ta te-tê dans le ascenseur comme dans Drive Ride dans le périmètre, Prince Vee est dans le périmètre. SNZ est dans le périmètre, Super Sound est dans le périmètre Ride dans le périmètre, Prince Vee est dans le périmètre. SNZ est dans le périmètre, Super Sound est dans cette, woo. . .             .           .         ";120
"864";"swift guad";". Donner la force, yo, exploser la prod. Ce est bien doser la chose et imposer ma sauce, ouais. Avant de connaître la mort, on vit pour se serrer les coudes. Le biz que on élabore est fait pour repérer les sous. Esquiver les coups, faire kiffer les couz. Quand ma lamelle sera pée-cou je vais te expliquer mes doutes. Je aime faire vibrer les foules, moi je aime kicker ce est tout. Donner de la force quand les petits Blancs devaient dealer des douze. ";138
"868";"deen burbigo";"Je roule avec les gars de ma bande Réussi, échoue avec les gars de ma bande Mes 'scards-la' escaladent pendant que tu regardes la pente On charbonne, on ne a pas de vacances, sa mère. Je traîne avec les gars de ma bande. Marche avec les gars de ma bande On vise ton siège, même lorsque il reste des places vacantes On ne a pas de patience pour les salles de attente, sa mère. Je roule avec les gars de ma bande Réussi, échoue avec les gars de ma bande Mes 'scards-la' escaladent pendant que tu regardes la pente. On charbonne, on ne a pas de vacances, sa mère. Je traîne avec les gars de ma bande. Marche avec les gars de ma bande On vise ton siège, même lorsque il reste des places vacantes On ne a pas de patience pour les salles de attente, sa mère. ";139
"869";"deen burbigo";". On ne aime pas les situations qui stagnent. Réussir : on fera tout pour Chez eux, on ne change pas une équipe qui gagne. Chez nous, on ne change pas une équipe tout court Je ai plus de un frangin sorti de un autre vagin Gamin, jamais seul durant les batailles On est soudé comme les doigts de la main. Une fois regroupé, ça met la patate On connaît les 'lères-ga' depuis l'époque des Velleda On est pire que les scélérats, on ne va jamais baisser les bras. On fait les bails, ça fait débat, tu sais déjà qui s'élevât, ave' le apostrophe. Ce est l'équipe, fais péter les baffles, hun Nos vies, ce est en musique que on les transpose. On était prédestiné à faire de grandes choses. À part taffer des seize rimes, partager des grecs-frites. Et saccager des belles suites, on se voyait pas faire grand-chose Tout ce que on fait, ce est pour nous-même ou pour la mif'. Ouais, on se branle bien de vos éloges Le rêve et le cauchemar de tous les bookeurs. Une tête sur le affiche, trente-cinq dans les loges Ma femme contre-glousse, me dit : ""Tout doux, mon étalon. Te auras pas de sexe tant que ye aura tes zoulous dans le salon"". Je me vois daron dans un futur proche Je ai déjà une armée de tontons pour mes futurs gosses, ça fait :. ";139
